OBJECTID,Tree_Name,Area,Diameter,Height,Tree_ID,Date_Planted,Lat,Long
204,Goldrain Tree,Yard,3,10,"9,574",,42.375521950104094,-71.118314502018748
205,Larch,Yard,3,12,"9,575",,42.375534226983021,-71.117890274884616
206,American Elm,Yard,33,50,"9,576",,42.375334302975297,-71.117971140408855
207,Larch,Yard,4,14,"9,577",,42.375291468073854,-71.117907083016050
208,Larch,Yard,3,12,"9,578",,42.375538088603882,-71.118012081152244
209,Kousa Dogwood,Yard,6,15,"9,579",,42.374120023292257,-71.116968451253811
210,Evergreen Chinese Elm,Yard,4,15,"9,580",,42.373527442695789,-71.117121298684395
211,Kentucky Coffeetree,Yard,4,16,"9,581",,42.373649764241890,-71.116957925226018
212,Kentucky Coffeetree,Yard,4,16,"9,582",,42.373597550872830,-71.116980497134335
213,American Elm,Yard,27,42,"9,583",,42.373442081869541,-71.117010583460527
214,Serviceberry,Yard,3,10,"9,584",,42.373320199696799,-71.117051734899945
215,Japanese Tree Lilac,Yard,9,14,"9,585",,42.373172086667417,-71.117129356835747
216,Japanese Tree Lilac,Yard,9,14,"9,586",,42.373191522480560,-71.117220933688088
217,Japanese Tree Lilac,Yard,10,16,"9,587",,42.373207309441391,-71.117292778301049
218,Japanese Tree Lilac,Yard,9,10,"9,588",,42.373217463748688,-71.117340677374841
219,Japanese Tree Lilac,Yard,9,10,"9,589",,42.373229869801442,-71.117397554909545
220,Common Hackberry,Yard,4,12,"9,590",,42.373251920643085,-71.116992614404438
221,Yellowwood,Yard,3,9,"9,591",,42.373193647978603,-71.116072241230739
222,Honeylocust,Yard,4,15,"9,592",,42.373464982298486,-71.115983033424243
223,Honeylocust,Yard,5,15,"9,593",,42.373377026300567,-71.115994363815929
224,Yellowwood,Yard,3,8,"9,594",,42.373553350186704,-71.116046548986205
225,American Elm,Yard,30,55,"9,595",,42.374671371084268,-71.115885247631056
226,Flowering Dogwood,Yard,7,11,"9,596",,42.374808017819824,-71.116247988752150
227,Flowering Dogwood,Yard,4,12,"9,597",,42.374742338018144,-71.115909309230801
228,Flowering Dogwood,Yard,6,11,"9,598",,42.374722370707516,-71.115820098997730
229,Holly,Yard,8,22,"9,599",,42.375267781862320,-71.116199579084963
230,Holly,Yard,10,22,"9,600",,42.375258748097075,-71.116157122376464
231,Hornbeam,Yard,11,22,"9,601",,42.375135651905424,-71.115830961637869
232,Holly,Yard,5,30,"9,602",,42.375289391111821,-71.115808155167272
233,Holly,Yard,5,26,"9,603",,42.375326171537168,-71.115803096787914
234,Littleleaf Linden,Yard,20,34,"9,604",,42.375479416820490,-71.116307723589500
235,Common Hackberry,Yard,5,12,"9,605",,42.375522271648059,-71.116141069085415
236,Common Hackberry,Yard,5,12,"9,606",,42.375476192155560,-71.115871288151595
237,Common Hackberry,Yard,5,12,"9,607",,42.375454674361727,-71.115796313127305
238,White Ash,Yard,24,34,"9,608",,42.375433810692620,-71.115703451408265
239,European Beech,Yard,22,28,"9,609",,42.375348053701046,-71.116085121006634
240,Red Oak,Yard,2,10,"9,610",,42.375311277034626,-71.115956449653069
241,Swiss Stone Pine,Yard,17,40,"9,611",,42.374614045533598,-71.115162019543988
242,Swamp White Oak,Yard,4,9,"9,612",,42.374506453004869,-71.115048879653585
243,Hedge Maple,Yard,4,21,"9,613",,42.374834498746935,-71.118471710532503
244,Pin Oak,Yard,32,60,"9,614",,42.374477989109351,-71.117601161779106
245,Pin Oak,Yard,28,60,"9,615",,42.374813173523783,-71.117349510959144
246,American Elm,Yard,33,55,"9,616",,42.375147744128242,-71.117206020610709
247,Japanese Pagoda Tree,Yard,4,14,"9,617",,42.375217814837548,-71.117039603481288
248,Scarlet Oak,Yard,8,22,"9,618",,42.374600279838369,-71.117248346016709
249,Hedge Maple,Yard,0,0,"9,619",,42.374773636205859,-71.116697396507845
250,Magnolia,Yard,12,32,"9,620",,42.375061749607845,-71.116583637193941
251,Magnolia,Yard,10,32,"9,621",,42.374933336425336,-71.116619224174102
252,Honeylocust,Yard,23,42,"9,622",,42.374372653217129,-71.116302065614732
253,Oak,Yard,24,42,"9,623",,42.374647091328306,-71.116664432124907
254,Swamp White Oak,Yard,3,12,"9,624",,42.374718265376785,-71.117207934079616
255,American Sweetgum,Yard,3,14,"9,625",,42.374790202379337,-71.117188660516689
256,Japanese Pagoda Tree,Yard,6,20,"9,626",,42.374874084954108,-71.117159018257169
257,English Elm,Yard,24,65,"9,627",,42.374568685192997,-71.116229869513177
258,Red Maple,Yard,4,12,"9,628",,42.374631941347822,-71.116511009456303
259,Yew,Yard,15,11,"9,629",,42.374708090507561,-71.116632407293366
260,Littleleaf Linden,Yard,5,15,"9,630",,42.373590820731877,-71.117458141325955
261,Northern Red Oak,Yard,29,45,"9,631",,42.373991593388368,-71.118496488111575
262,Northern Red Oak,Yard,33,65,"9,632",,42.374226080520174,-71.118427802056431
263,American Elm,Yard,26,48,"9,633",,42.374168651852301,-71.116488466617838
264,Red Maple,Yard,4,12,"9,634",,42.374125364026177,-71.116492412925894
265,Honeylocust,Yard,23,45,"9,635",,42.374264467572779,-71.116408076345394
266,Honeylocust,Yard,4,14,"9,636",,42.374217421052940,-71.116349387810970
267,American Elm,Yard,30,50,"9,637",,42.374332025479660,-71.116607275529319
268,Honeylocust,Yard,27,48,"9,638",,42.374373929715588,-71.116487237604659
269,Honeylocust,Yard,3,12,"9,639",,42.374454076796653,-71.116302621893169
270,Honeylocust,Yard,42,90,"9,640",,42.374480407769731,-71.116393159255963
271,American Sycamore Buttonwood,Yard,10,30,"9,641",,42.373582064390021,-71.118250503546506
272,American Sycamore Buttonwood,Yard,10,30,"9,642",,42.373666376906378,-71.118255920988091
273,Northern Red Oak,Yard,33,45,"9,643",,42.373894006537618,-71.118513162129389
274,Honeylocust,Yard,32,60,"9,644",,42.373854037011043,-71.118356675502127
275,English Elm,Yard,37,60,"9,645",,42.374392868210208,-71.117816014813073
276,Japanese Pagoda Tree,Yard,4,15,"9,646",,42.374375979158543,-71.117628357009451
277,Northern Red Oak,Yard,32,65,"9,647",,42.374259455499612,-71.117853270692123
278,Northern Red Oak,Yard,35,60,"9,648",,42.374122317345297,-71.117889427022675
279,Black Oak,Yard,42,58,"9,649",,42.374509730989324,-71.116556275852361
280,American Elm,Yard,20,38,"9,650",,42.374566961994830,-71.116634317900321
281,Eastern White Pine,Yard,10,26,"9,651",,42.374468179860834,-71.116800964799836
282,Holly,Yard,10,16,"9,652",,42.375011114811777,-71.115412838143669
283,Holly,Yard,6,11,"9,653",,42.375290175573895,-71.116229005300639
